user_id,total_spending,session_count,avg_session_duration,tenure_days,engagement_score,clv
user_005319,75450.05999999998,218,1780.711009174312,94,7.452088755503503,562260.5437280645
user_000081,66206.94000000002,232,1894.2025862068965,101,7.417256493968363,491073.85566077393
user_002076,67146.70999999998,211,1871.6398104265402,94,7.253942500532195,487078.37343990995
user_008796,64454.470000000016,219,2008.8264840182649,96,7.40175735667174,477076.3474928781
user_008927,65350.33999999998,213,1894.7276995305165,96,7.182563249869588,469382.9504504824
user_005759,64488.58999999999,212,1780.5896226415093,94,7.260565675320041,468223.6430037872
user_001175,68467.81,208,1868.2788461538462,99,6.821996649184149,467087.17039697693
user_005436,66026.58,204,1912.5049019607843,94,7.041889659528113,464951.8909560057
user_004400,59284.36999999998,224,1884.3214285714287,93,7.749229070660522,459408.1634397944
user_000929,57195.52000000001,234,1803.991452991453,95,7.890582421152597,451305.9646806818
user_007324,67512.17000000001,224,1779.236607142857,109,6.659370005551915,449588.51990772196
user_000349,61620.200000000004,220,1745.0454545454545,97,7.288858559825054,449140.92222813185
user_001490,67486.27,216,1714.9583333333333,105,6.647805886243386,448635.6229466105
user_007836,63179.69999999998,246,1785.7845528455284,112,7.085336978965027,447649.4647299166
user_000111,59860.679999999986,215,1799.5767441860464,93,7.435366299908311,445086.0827615953
user_005869,69575.60000000002,193,1824.4870466321242,99,6.3552868058826615,442172.8926913698
user_004289,67820.86999999998,212,1826.7971698113208,106,6.5074436582809225,441340.49038059474
user_003174,60849.91000000002,212,1768.9528301886792,95,7.186112628268785,437274.30668001913
user_006413,63125.51,217,1785.152073732719,102,6.878228517213337,434191.6830456357
user_002884,59696.84999999999,209,1843.6124401913876,93,7.254050050590798,433043.9377626112
user_004762,66258.76000000001,207,1804.3574879227053,103,6.530336626904096,432692.0072812481
user_001153,71392.65000000001,203,1690.8768472906404,109,6.056843976439041,432414.1421145208
user_005812,65652.55,223,1867.3363228699552,111,6.545731561157569,429743.9686054754
user_007574,56749.98999999999,225,1890.9244444444444,97,7.484019676721395,424718.04181374237
user_000084,67725.36,193,1849.419689119171,101,6.246400958748725,423039.7536356026
user_003609,61487.680000000015,220,1803.65,104,6.847167735042735,421016.4585986326
user_001473,62755.55000000002,202,1883.2722772277227,98,6.7068046575065665,420889.2150243863
user_007983,59110.85000000001,224,1896.2767857142858,102,7.114978845704949,420572.4473016385
user_009256,52460.33000000001,235,1838.6893617021276,94,8.010747044917258,420246.4335228842
user_003820,64837.329999999994,203,1822.4039408866995,102,6.4768115522070895,419939.16795826325
user_004156,58980.52000000001,207,1765.7826086956522,94,7.09687814780553,418577.56353420706
user_006734,64322.30999999999,232,1819.0431034482758,116,6.5052897509578544,418435.26400093385
user_005187,61187.73999999999,201,1855.6915422885572,96,6.796719872857933,415875.9284332642
user_001722,56601.18,214,1863.0794392523364,94,7.347309300501536,415866.37623336155
user_007003,62661.599999999984,218,1839.4724770642201,107,6.623114109672564,415014.9270946582
user_008032,65029.24,228,1673.390350877193,116,6.361382377159373,413675.8613360674
user_001370,56454.34999999999,215,1844.4325581395349,95,7.3018160614715075,412219.27956993395
user_009164,65305.08,189,1646.6560846560847,97,6.302765292702292,411602.5916611466
user_001308,51921.47999999998,234,1871.9529914529915,95,7.909460626280802,410670.90171822597
user_006752,66055.26000000002,208,1933.860576923077,110,6.209910766317017,410197.27024586994
user_003849,56921.87000000002,217,1768.7649769585253,97,7.202663810896268,409989.09309754206
user_002611,58967.31,219,1827.13698630137,102,6.948714522338615,409747.003340243
user_007681,70511.94,190,1733.9105263157894,107,5.808744616603815,409585.8518812912
user_009036,61422.96000000002,205,1858.5756097560975,100,6.666271002710028,409462.0971486181
user_002916,66864.95000000001,193,1800.3886010362694,103,6.121467168033268,409311.5961171861
user_004554,53922.40999999999,228,1783.622807017544,97,7.546997171479673,406952.2757493672
user_006936,65504.49000000003,196,1792.3010204081634,103,6.206599258635494,406560.1190712963
user_008843,58982.640000000014,220,1735.85,103,6.889947545846819,406387.2957155665
user_003258,58702.220000000016,212,1921.6603773584907,100,6.8937945492662465,404681.04426582815
user_007420,54998.14999999999,213,1739.1455399061033,93,7.354063725242734,404459.8998704586
user_002843,58763.12,198,1729.8838383838383,93,6.867620062633503,403562.7818549401
user_000617,51305.13000000002,231,1884.4025974025974,95,7.818182008050429,401112.8442866884
user_005581,73957.78000000001,195,1767.6102564102564,119,5.4069692355574706,399887.44119012763
user_006678,57998.53000000001,202,1816.1930693069307,95,6.883445443228534,399229.7170424535
user_009901,57066.31999999999,223,1772.8295964125562,103,6.987598296738116,398756.5204331122
user_005787,54866.47,223,1803.0224215246637,99,7.258415319110386,398243.6263535104
user_001569,61456.13999999998,202,1719.2722772277227,101,6.477575632563257,398086.79493539594
user_004921,61269.74,204,1766.1470588235295,102,6.490596405228758,397677.15419330064
user_005802,65254.859999999986,187,1718.3155080213903,100,6.087309863339274,397226.55290882336
user_002512,58363.25000000001,218,1841.0779816513761,104,6.799872088920254,396862.63469367503
user_004433,56659.330000000016,234,1763.4615384615386,108,6.989850427350428,396040.242013889
user_006454,56005.36,213,1741.0234741784038,97,7.071246497695604,396027.7057521815
user_001743,57158.80000000002,200,1835.7,94,6.892895390070922,393989.6290219859
user_003003,56003.73000000001,210,1924.6714285714286,97,7.029476313205695,393676.89348616725
user_000464,55941.24,210,1661.7238095238095,96,7.024089947089947,392936.301511746
user_001021,59587.890000000014,209,1763.5741626794259,103,6.577260352632096,391925.06639400264
